,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
1135,Constant lay offs. Mass exodus of people leaving of their own volition. Constant turn over. Career advancement depends on what dept you work in. Propensity to hire younger college age workers means there is no continuity over a multi year period. Constantly training co workers.,constant lay off mass exodu peopl leav volit constant turn career advanc depend dept work propens hire younger colleg age worker mean continu multi year period constantli train co worker,constant lay off mass exodu of peopl leav of their own volit constant turn over career advanc depend on what dept you work in propens to hire younger colleg age worker mean there is no continu over a multi year period constantli train co worker,constant lay off mass exodus people leave volition constant turn career advancement depend dept work propensity hire younger college age worker mean continuity multi year period constantly train co worker,constant lay off mass exodus of people leave of their own volition constant turn over career advancement depend on what dept you work in propensity to hire younger college age worker mean there be no continuity over a multi year period constantly train co worker,NEGATIVE
1136,"Barclays has an unhealthy\, destructive culture with high turnover and poor management. Coworkers are constantly stressed and unhappy and feel significantly undervalued. Although Barclays is trying to move past recent negative headlines\, its stated values are not effectively implemented\, and miscommunication with and misvaluation of human capital continue to be extremely problematic at all levels.",barclay unhealthi destruct cultur high turnov poor manag cowork constantli stress unhappi feel significantli undervalu although barclay tri move past recent neg headlin state valu effect implement miscommun misvalu human capit continu extrem problemat level,barclay ha an unhealthi destruct cultur with high turnov and poor manag cowork are constantli stress and unhappi and feel significantli undervalu although barclay is tri to move past recent neg headlin it state valu are not effect implement and miscommun with and misvalu of human capit continu to be extrem problemat at all level,barclays unhealthy destructive culture high turnover poor management coworkers constantly stress unhappy feel significantly undervalue although barclays try move past recent negative headline state value effectively implement miscommunication misvaluation human capital continue extremely problematic level,barclays ha an unhealthy destructive culture with high turnover and poor management coworkers be constantly stress and unhappy and feel significantly undervalue although barclays be try to move past recent negative headline it state value be not effectively implement and miscommunication with and misvaluation of human capital continue to be extremely problematic at all level,NEGATIVE
1137,"Managers manage up and not down. The volume of work with limited staff support and expectation of execution of that work is unrealistic. Changing priorities everyday without focus\, then to have the work that was said to be priority put aside after spending time and shifting current work load to execute.",manag manag volum work limit staff support expect execut work unrealist chang prioriti everyday without focu work said prioriti put asid spend time shift current work load execut,manag manag up and not down the volum of work with limit staff support and expect of execut of that work is unrealist chang prioriti everyday without focu then to have the work that wa said to be prioriti put asid after spend time and shift current work load to execut,manager manage volume work limit staff support expectation execution work unrealistic change priority everyday without focus work say priority put aside spend time shift current work load execute,manager manage up and not down the volume of work with limit staff support and expectation of execution of that work be unrealistic change priority everyday without focus then to have the work that be say to be priority put aside after spend time and shift current work load to execute,NEGATIVE
1138,"Not really a friendly working environment. The person with sharp elbows will take advantage of those don't. I guess this is true for most large corporations\, where politics dominates.",realli friendli work environ person sharp elbow will take advantag nt guess true larg corpor polit domin,not realli a friendli work environ the person with sharp elbow will take advantag of those do nt I guess thi is true for most larg corpor where polit domin,really friendly work environment person sharp elbow will take advantage nt guess true large corporation politics dominate,not really a friendly work environment the person with sharp elbow will take advantage of those do nt i guess this be true for most large corporation where politics dominate,NEGATIVE
1139,My boss did not want to be bothered and sometimes would not answer emails. Some of the problems that occurred in the system were really tough to solve and not reproducible and no help was given. My team and colleagues were friendly but I rarely went out to lunch or after work with them. Typical drones. I was laid off after a year and a half. They have had some rough times and laid off tens of thousands of people. People were really nervous when lay off were happening.,boss want bother sometim answer email problem occur system realli tough solv reproduc help given team colleagu friendli rare went lunch work typic drone laid year half rough time laid ten thousand peopl peopl realli nervou lay happen,My boss did not want to be bother and sometim would not answer email some of the problem that occur in the system were realli tough to solv and not reproduc and no help wa given My team and colleagu were friendli but I rare went out to lunch or after work with them typic drone I wa laid off after a year and a half they have had some rough time and laid off ten of thousand of peopl peopl were realli nervou when lay off were happen,bos want bother sometimes answer email problem occur system really tough solve reproducible help give team colleague friendly rarely go lunch work typical drone lay year half rough time lay ten thousand people people really nervous lay happen,my bos do not want to be bother and sometimes would not answer email some of the problem that occur in the system be really tough to solve and not reproducible and no help be give my team and colleague be friendly but i rarely go out to lunch or after work with them typical drone i be lay off after a year and a half they have had some rough time and lay off ten of thousand of people people be really nervous when lay off be happen,NEGATIVE
1140,The poor IT infrastructure cannot meet regulatory requirements. Deep mistrust between departments. Lots of meetings that accomplish nothing. Stunning lack of communication.,poor infrastructur meet regulatori requir deep mistrust depart lot meet accomplish noth stun lack commun,the poor IT infrastructur can not meet regulatori requir deep mistrust between depart lot of meet that accomplish noth stun lack of commun,poor infrastructure meet regulatory requirement deep mistrust department lot meet accomplish nothing stun lack communication,the poor it infrastructure can not meet regulatory requirement deep mistrust between department lot of meet that accomplish nothing stun lack of communication,NEGATIVE
1141,Poor work life balance. Manager had an NYC state of mind so she was not concerned with working timely and efficiently. Managers tend to micro manage and there is no consistency across teams. The benefits were just ok as far as prescription coverage I felt I paid more with Barclays. The company is behind tech wise and they are just now going through changes other banks went through years ago. They are having another relocation strategy after less than a year in Houston.,poor work life balanc manag nyc state mind concern work time effici manag tend micro manag consist across team benefit just ok far prescript coverag felt paid barclay compani behind tech wise just now go chang bank went year ago anoth reloc strategi less year houston,poor work life balanc manag had an nyc state of mind so she wa not concern with work time and effici manag tend to micro manag and there is no consist across team the benefit were just ok as far as prescript coverag I felt I paid more with barclay the compani is behind tech wise and they are just now go through chang other bank went through year ago they are have anoth reloc strategi after less than a year in houston,poor work life balance manager nyc state mind concern work timely efficiently manager tend micro manage consistency across team benefit just ok far prescription coverage felt pay barclays company behind tech wise just now go change bank go year ago another relocation strategy le year houston,poor work life balance manager had an nyc state of mind so she be not concern with work timely and efficiently manager tend to micro manage and there be no consistency across team the benefit be just ok a far a prescription coverage i felt i pay more with barclays the company be behind tech wise and they be just now go through change other bank go through year ago they be have another relocation strategy after le than a year in houston,NEGATIVE
1142,"worst place\, stupid boss. He does not know what he is doing",worst place stupid boss know,worst place stupid boss He doe not know what he is do,worst place stupid bos know,worst place stupid bos he do not know what he be do,NEGATIVE
1143,"There is no accountability for poor performance. Management lives in it's own little boys club patting themselves on the back preaching this ""Go to bank"" nonsense as vrevenues fall and clients run out the door. The amount of self righteous notifications to their employees on how the Transform plan is working out is sickening as they continue to miss revenue estimates.",account poor perform manag live littl boy club pat back preach go bank nonsens vrevenu fall client run door amount self righteou notif employe transform plan work sicken continu miss revenu estim,there is no account for poor perform manag live in it s own littl boy club pat themselv on the back preach thi Go to bank nonsens as vrevenu fall and client run out the door the amount of self righteou notif to their employe on how the transform plan is work out is sicken as they continu to miss revenu estim,accountability poor performance management live little boy club pat back preach go bank nonsense vrevenues fall client run door amount self righteous notification employee transform plan work sicken continue miss revenue estimate,there be no accountability for poor performance management live in it s own little boy club pat themselves on the back preach this go to bank nonsense a vrevenues fall and client run out the door the amount of self righteous notification to their employee on how the transform plan be work out be sicken a they continue to miss revenue estimate,NEGATIVE
1144,The political and bureaucratic environment here stifles creativity and eliminates the possibility of internal advancement. Senior management is focused on saving their own careers and will not choose the right thing over the action that carries political weight. Layoffs are common and frequent and the well being of mid and low level staff is not of great concern to the company.,polit bureaucrat environ stifl creativ elimin possibl intern advanc senior manag focus save career will choos right thing action carri polit weight layoff common frequent well mid low level staff great concern compani,the polit and bureaucrat environ here stifl creativ and elimin the possibl of intern advanc senior manag is focus on save their own career and will not choos the right thing over the action that carri polit weight layoff are common and frequent and the well be of mid and low level staff is not of great concern to the compani,political bureaucratic environment stifle creativity eliminate possibility internal advancement senior management focus save career will choose right thing action carry political weight layoff common frequent well mid low level staff great concern company,the political and bureaucratic environment here stifle creativity and eliminate the possibility of internal advancement senior management be focus on save their own career and will not choose the right thing over the action that carry political weight layoff be common and frequent and the well be of mid and low level staff be not of great concern to the company,NEGATIVE
1145,The work environment here is not too good. Basically the entire management here is from Verizon. It is a pretty well known fact that Verizon has pretty bad reputation in the Dallas region as far as work culture goes. Its pretty much the same here.,work environ good basic entir manag verizon pretti well known fact verizon pretti bad reput dalla region far work cultur goe pretti much,the work environ here is not too good basic the entir manag here is from verizon It is a pretti well known fact that verizon ha pretti bad reput in the dalla region as far as work cultur goe it pretti much the same here,work environment good basically entire management verizon pretty well know fact verizon pretty bad reputation dallas region far work culture go pretty much,the work environment here be not too good basically the entire management here be from verizon it be a pretty well know fact that verizon ha pretty bad reputation in the dallas region a far a work culture go it pretty much the same here,NEGATIVE
1146,"Low compensation leads to best people leaving the company\, especially in the investment bank. US division must comply to both US and UK regulatory rules.",low compens lead best peopl leav compani especi invest bank us divis must compli us uk regulatori rule,low compens lead to best peopl leav the compani especi in the invest bank US divis must compli to both US and UK regulatori rule,low compensation lead best people leave company especially investment bank u division must comply u uk regulatory rule,low compensation lead to best people leave the company especially in the investment bank u division must comply to both u and uk regulatory rule,NEGATIVE
1147,"1. Long hours - It is a prison for work and you will not be recognized for your hard work and successes. Working in global operations\, a regular day could begin at 7/7:30 AM and ended around 7 PM/8 PM - 11 PM or 12 PM some nights. Only stepped outside for 15 mins to grab lunch and ate at my desk. This was a typical day.",long hour prison work will recogn hard work success work global oper regular day begin end around pm pm pm pm night step outsid min grab lunch ate desk typic day,long hour It is a prison for work and you will not be recogn for your hard work and success work in global oper a regular day could begin at AM and end around PM PM PM or PM some night onli step outsid for min to grab lunch and ate at my desk thi wa a typic day,long hour prison work will recognize hard work success work global operation regular day begin end around pm pm pm pm night step outside min grab lunch eat desk typical day,long hour it be a prison for work and you will not be recognize for your hard work and success work in global operation a regular day could begin at be and end around pm pm pm or pm some night only step outside for min to grab lunch and eat at my desk this be a typical day,NEGATIVE
1148,"Very pretentious. Long hours. Unless you're on top\, you're just a b*tch. The sooner you realize it\, the sooner you can move on to somewhere else and be happy.",pretenti long hour unless re top re just btch sooner realiz sooner move somewher els happi,veri pretenti long hour unless you re on top you re just a btch the sooner you realiz it the sooner you can move on to somewher els and be happi,pretentious long hour unless re top re just btch sooner realize sooner move somewhere else happy,very pretentious long hour unless you re on top you re just a btch the sooner you realize it the sooner you can move on to somewhere else and be happy,NEGATIVE
1149,"Arrogant and selfish management\, incompetent and useless managers and terrible work environment.",arrog selfish manag incompet useless manag terribl work environ,arrog and selfish manag incompet and useless manag and terribl work environ,arrogant selfish management incompetent useless manager terrible work environment,arrogant and selfish management incompetent and useless manager and terrible work environment,NEGATIVE
1150,"Company doesn't care about it's staff you could report the likes of harassment or bad treatment off another low life colleague (which in Barclays you will find lots of)\, they just ignore you until you have had enough that you personally have to take up a grievance if you want to be heard\, the culture stinks!!don't know what they doing.",compani nt care staff report like harass bad treatment anoth low life colleagu barclay will find lot just ignor enough person take grievanc want heard cultur stink nt know,compani doe nt care about it s staff you could report the like of harass or bad treatment off anoth low life colleagu lrb which in barclay you will find lot of rrb they just ignor you until you have had enough that you person have to take up a grievanc if you want to be heard the cultur stink do nt know what they do,company nt care staff report like harassment bad treatment another low life colleague barclays will find lot just ignore enough personally take grievance want hear culture stink nt know,company do nt care about it s staff you could report the like of harassment or bad treatment off another low life colleague lrb which in barclays you will find lot of rrb they just ignore you until you have had enough that you personally have to take up a grievance if you want to be hear the culture stink do nt know what they do,NEGATIVE
1151,"Not a good pay compared to life expenses in Vilnius. Very bad management. A lot of unpaid work\, huge preasure from Team Managers. Management very badly trained. A lot of brags arround. Treatment of staff is like in prison. Never ending threats to be sacked\, poor career progression.",good pay compar life expens vilniu bad manag lot unpaid work huge preasur team manag manag badli train lot brag arround treatment staff like prison never end threat sack poor career progress,not a good pay compar to life expens in vilniu veri bad manag A lot of unpaid work huge preasur from team manag manag veri badli train A lot of brag arround treatment of staff is like in prison never end threat to be sack poor career progress,good pay compare life expense vilnius bad management lot unpaid work huge preasure team manager management badly train lot brag arround treatment staff like prison never end threat sack poor career progression,not a good pay compare to life expense in vilnius very bad management a lot of unpaid work huge preasure from team manager management very badly train a lot of brag arround treatment of staff be like in prison never end threat to be sack poor career progression,NEGATIVE
1152,Modern day slavery as I was working in a call centre where the calls were always on auto pick up. Repetitive work and the pay was atrocious. Oh and there was this incredibly long salutation that we had to recite that went on and on and on. Totally exhausting.,modern day slaveri work call centr call alway auto pick repetit work pay atroci oh incred long salut recit went total exhaust,modern day slaveri as I wa work in a call centr where the call were alway on auto pick up repetit work and the pay wa atroci Oh and there wa thi incred long salut that we had to recit that went on and on and on total exhaust,modern day slavery work call centre call always auto pick repetitive work pay atrocious oh incredibly long salutation recite go totally exhaust,modern day slavery a i be work in a call centre where the call be always on auto pick up repetitive work and the pay be atrocious oh and there be this incredibly long salutation that we had to recite that go on and on and on totally exhaust,NEGATIVE
1153,Poor pay only £16k. If yr branch manager doesn't like you it will never go up. No bonus or incentive. Lot of pressure to push products on to customers. Have to work overtime for free. Have to work Saturdays. All holiday requests are refused. No work life balance at all.,poor pay k yr branch manag nt like will never go bonu incent lot pressur push product custom work overtim free work saturday holiday request refus work life balanc,poor pay onli k If yr branch manag doe nt like you it will never go up No bonu or incent lot of pressur to push product on to custom have to work overtim for free have to work saturday all holiday request are refus No work life balanc at all,poor pay k yr branch manager nt like will never go bonus incentive lot pressure push product customer work overtime free work saturday holiday request refuse work life balance,poor pay only k if yr branch manager do nt like you it will never go up no bonus or incentive lot of pressure to push product on to customer have to work overtime for free have to work saturday all holiday request be refuse no work life balance at all,NEGATIVE
1154,Bullying in the workplace by senior. Extremely low moral between staff members who are made to feel inadequate and don’t know which branch they will be working at from one day to the next. Staff never given positive feedback (take a look at the personal development reviews). Bad management with no people skills. Nasty comments made about members of team in front of other sections of workforce. Passive aggressive tactics displayed by branch manager.,bulli workplac senior extrem low moral staff member made feel inadequ nt know branch will work one day next staff never given posit feedback take look person develop review bad manag peopl skill nasti comment made member team front section workforc passiv aggress tactic display branch manag,bulli in the workplac by senior extrem low moral between staff member who are made to feel inadequ and do nt know which branch they will be work at from one day to the next staff never given posit feedback lrb take a look at the person develop review rrb bad manag with no peopl skill nasti comment made about member of team in front of other section of workforc passiv aggress tactic display by branch manag,bully workplace senior extremely low moral staff member make feel inadequate nt know branch will work one day next staff never give positive feedback take look personal development review bad management people skill nasty comment make member team front section workforce passive aggressive tactic display branch manager,bully in the workplace by senior extremely low moral between staff member who be make to feel inadequate and do nt know which branch they will be work at from one day to the next staff never give positive feedback lrb take a look at the personal development review rrb bad management with no people skill nasty comment make about member of team in front of other section of workforce passive aggressive tactic display by branch manager,NEGATIVE
1155,Can be very political at times. Company struggles with treating people fairly. Invisible power structures are closer to the feudal system than meritocrisy. Some managers are threatened by change and talented staff are sometimes marginalized for speaking up.,polit time compani struggl treat peopl fairli invis power structur closer feudal system meritocrisi manag threaten chang talent staff sometim margin speak,can be veri polit at time compani struggl with treat peopl fairli invis power structur are closer to the feudal system than meritocrisi some manag are threaten by chang and talent staff are sometim margin for speak up,political time company struggle treat people fairly invisible power structure closer feudal system meritocrisy manager threaten change talented staff sometimes marginalize speak,can be very political at time company struggle with treat people fairly invisible power structure be closer to the feudal system than meritocrisy some manager be threaten by change and talented staff be sometimes marginalize for speak up,NEGATIVE
1156,"Lots of over time\, bad work life balance\, bad culture\, low humanity\, poor management\, high turnover rate (fire and hire back again - stupid management)\, and multi-national environment is something I love but the whole department become little India\, come on... the hiring must be biased",lot time bad work life balanc bad cultur low human poor manag high turnov rate fire hire back stupid manag multin environ someth love whole depart becom littl india come hire must bias,lot of over time bad work life balanc bad cultur low human poor manag high turnov rate lrb fire and hire back again stupid manag rrb and multin environ is someth I love but the whole depart becom littl india come on the hire must be bias,lot time bad work life balance bad culture low humanity poor management high turnover rate fire hire back stupid management multinational environment something love whole department become little india come hire must bias,lot of over time bad work life balance bad culture low humanity poor management high turnover rate lrb fire and hire back again stupid management rrb and multinational environment be something i love but the whole department become little india come on the hire must be bias,NEGATIVE
1157,"Very bad HR team. My last day of working with Barclays was 2nd August 2017. Today its 25th Sep 2017\, even after 53th days I have not received my Full and final and experience letter. I have dropped several mails to HR team\, I had at-least 10 calls in these 53 days but what I got is just a promise that after 1/2 weeks we will do settlement.",bad hr team last day work barclay nd august today th sep even th day receiv full final experi letter drop sever mail hr team atleast call day got just promis week will settlement,veri bad HR team My last day of work with barclay wa nd august today it th sep even after th day I have not receiv my full and final and experi letter I have drop sever mail to HR team I had atleast call in these day but what I got is just a promis that after week we will do settlement,bad hr team last day work barclays nd august today th sep even th day receive full final experience letter drop several mail hr team atleast call day get just promise week will settlement,very bad hr team my last day of work with barclays be nd august today it th sep even after th day i have not receive my full and final and experience letter i have drop several mail to hr team i had atleast call in these day but what i get be just a promise that after week we will do settlement,NEGATIVE
1158,"Unfortunately\, incomplete employees were easily elevated to VP and even SVP status just because they sucked up to the right people. I literally was spoon feeding my VP information on how to do her job and it was absolutely frustrating. Whenever I thought I would be next in line for more responsibility or a better title\, I was passed on by the cheekier and talkative alternative that had no idea what they were doing.",unfortun incomplet employe easili elev vp even svp statu just suck right peopl liter spoon feed vp inform job absolut frustrat whenev thought next line respons better titl pass cheekier talk altern idea,unfortun incomplet employe were easili elev to VP and even svp statu just becaus they suck up to the right peopl I liter wa spoon feed my VP inform on how to do her job and it wa absolut frustrat whenev I thought I would be next in line for more respons or a better titl I wa pass on by the cheekier and talk altern that had no idea what they were do,unfortunately incomplete employee easily elevate vp even svp status just suck right people literally spoon feed vp information job absolutely frustrate whenever think next line responsibility better title pass cheekier talkative alternative idea,unfortunately incomplete employee be easily elevate to vp and even svp status just because they suck up to the right people i literally be spoon feed my vp information on how to do her job and it be absolutely frustrate whenever i think i would be next in line for more responsibility or a better title i be pass on by the cheekier and talkative alternative that had no idea what they be do,NEGATIVE
1159,"Worst place to work for. Importance will be given to the consultants. If you are full time or contractor than you are your own. You have to work for the consultants\, work for them while they are gone for long lunches or left for the day or working from on Fridays / Mondays. They will take all the credits and you will look like a full. You might think to talk to your manager or his/her manager but it won’t help as I did many times. There were 6 employees in my team and then 5 left in 4 months due to this consulting firm and then I end up leaving too. I have seen 12+ people left in 6 months (including contractors) and Barclays absolutely did nothing to improve the work environment but hiring more consultants from this firm :)",worst place work import will given consult full time contractor work consult work gone long lunch left day work friday monday will take credit will look like full might think talk manag hisher manag wo nt help mani time employe team left month due consult firm end leav seen peopl left month includ contractor barclay absolut noth improv work environ hire consult firm,worst place to work for import will be given to the consult If you are full time or contractor than you are your own you have to work for the consult work for them while they are gone for long lunch or left for the day or work from on friday monday they will take all the credit and you will look like a full you might think to talk to your manag or hisher manag but it wo nt help as I did mani time there were employe in my team and then left in month due to thi consult firm and then I end up leav too I have seen peopl left in month lrb includ contractor rrb and barclay absolut did noth to improv the work environ but hire more consult from thi firm rrb,worst place work importance will give consultant full time contractor work consultant work go long lunch left day work friday monday will take credit will look like full might think talk manager hisher manager wo nt help many time employee team left month due consult firm end leave see people left month include contractor barclays absolutely nothing improve work environment hire consultant firm,worst place to work for importance will be give to the consultant if you be full time or contractor than you be your own you have to work for the consultant work for them while they be go for long lunch or left for the day or work from on friday monday they will take all the credit and you will look like a full you might think to talk to your manager or hisher manager but it wo nt help a i do many time there be employee in my team and then left in month due to this consult firm and then i end up leave too i have see people left in month lrb include contractor rrb and barclays absolutely do nothing to improve the work environment but hire more consultant from this firm rrb,NEGATIVE
1160,"Lack of room for growth. Consistently poor raises and increasingly bad bonus numbers. Red tape all over the place. Incredibly bureaucratic. Compliance driven. Big titles at the top still paying themselves handsomely while they explain poor compensation to employees by complaining about how bad the year was. YEAR AFTER YEAR. There is a traffic jam at the exit doors\, people running for the hills left and right. They preach values but it's all a facade.",lack room growth consist poor rais increasingli bad bonu number red tape place incred bureaucrat complianc driven big titl top still pay handsom explain poor compens employe complain bad year year year traffic jam exit door peopl run hill left right preach valu facad,lack of room for growth consist poor rais and increasingli bad bonu number red tape all over the place incred bureaucrat complianc driven big titl at the top still pay themselv handsom while they explain poor compens to employe by complain about how bad the year wa year after year there is a traffic jam at the exit door peopl run for the hill left and right they preach valu but it s all a facad,lack room growth consistently poor raise increasingly bad bonus number red tape place incredibly bureaucratic compliance drive big title top still pay handsomely explain poor compensation employee complain bad year year year traffic jam exit door people run hill left right preach value facade,lack of room for growth consistently poor raise and increasingly bad bonus number red tape all over the place incredibly bureaucratic compliance drive big title at the top still pay themselves handsomely while they explain poor compensation to employee by complain about how bad the year be year after year there be a traffic jam at the exit door people run for the hill left and right they preach value but it s all a facade,NEGATIVE
1161,"Too much bureaucracy and office politics get in the way of people actually getting work done. Morale is very low especially with the 'Bad Bank' announcement as people feel unsettled not knowing when they'll be next to be cut. Too much restructuring going on and the feeling is nothing at Barclays is ever stable. Lots of budget cuts and as a result hiring is also limited. Bonus and raise have been horrendous the last few of years. Only higher ups are getting bonuses which is not fair as it's the doers that get the job done\, not management.",much bureaucraci offic polit get way peopl actual get work done moral low especi bad bank announc peopl feel unsettl know next cut much restructur go feel noth barclay ever stabl lot budget cut result hire also limit bonu rais horrend last year higher up get bonus fair doer get job done manag,too much bureaucraci and offic polit get in the way of peopl actual get work done moral is veri low especi with the bad bank announc as peopl feel unsettl not know when they ll be next to be cut too much restructur go on and the feel is noth at barclay is ever stabl lot of budget cut and as a result hire is also limit bonu and rais have been horrend the last few of year onli higher up are get bonus which is not fair as it s the doer that get the job done not manag,much bureaucracy office politics get way people actually get work do morale low especially bad bank announcement people feel unsettle know next cut much restructure go feel nothing barclays ever stable lot budget cut result hire also limit bonus raise horrendous last year higher up get bonus fair doer get job do management,too much bureaucracy and office politics get in the way of people actually get work do morale be very low especially with the bad bank announcement a people feel unsettle not know when they ll be next to be cut too much restructure go on and the feel be nothing at barclays be ever stable lot of budget cut and a a result hire be also limit bonus and raise have be horrendous the last few of year only higher up be get bonus which be not fair a it s the doer that get the job do not management,NEGATIVE
1162,You are under paid and over worked.,paid work,you are under paid and over work,pay work,you be under pay and over work,NEGATIVE
1163,"This is a horrible place to work\, they totally mislead new starters with an enjoyable training period of 4 - 6 weeks where staff get over hour long lunch breaks and early finishes. The training in itself is a joke and is treated as such where you play hangman in the classrooms and spend pretty much a full week doing pointless icebreakers. The classroom training is supposed to last 4 weeks but it dragged on for 6 weeks as they had problems getting our passwords and us set up on the systems.",horribl place work total mislead new starter enjoy train period week staff get hour long lunch break earli finish train joke treat play hangman classroom spend pretti much full week pointless icebreak classroom train suppos last week drag week problem get password us set system,thi is a horribl place to work they total mislead new starter with an enjoy train period of week where staff get over hour long lunch break and earli finish the train in itself is a joke and is treat as such where you play hangman in the classroom and spend pretti much a full week do pointless icebreak the classroom train is suppos to last week but it drag on for week as they had problem get our password and us set up on the system,horrible place work totally mislead new starter enjoyable train period week staff get hour long lunch break early finish train joke treat play hangman classroom spend pretty much full week pointless icebreaker classroom train suppose last week drag week problem get password u set system,this be a horrible place to work they totally mislead new starter with an enjoyable train period of week where staff get over hour long lunch break and early finish the train in itself be a joke and be treat a such where you play hangman in the classroom and spend pretty much a full week do pointless icebreaker the classroom train be suppose to last week but it drag on for week a they had problem get our password and u set up on the system,NEGATIVE
1164,"Other than the benefits\, the culture is toxic. From 2011 to 2016\, Barclays has had 3 CEO's: Bob Diamond\, Antony Jenkins\, and Jes Staley. And during those 5 years\, even more organizational restructuring and management moves occurred. All of these left many valuable departments and employees in limbo for many months without work or direction while the C-suite and the board tried to figure out what to do with the bank. Concurrently in those 5 years\, demotivation\, toxicity\, and general wariness about the fate of the bank were pervasive world-wide. No matter what initiatives local manager would try to initiate to bring morale up among the sites\, any efforts were made futile by upper management as production remained low and departments were left neglected.",benefit cultur toxic barclay ceo bob diamond antoni jenkin je staley year even organiz restructur manag move occur left mani valuabl depart employe limbo mani month without work direct csuit board tri figur bank concurr year demotiv toxic gener wari fate bank pervas worldwid matter initi local manag tri initi bring moral among site effort made futil upper manag product remain low depart left neglect,other than the benefit the cultur is toxic from to barclay ha had ceo s bob diamond antoni jenkin and je staley and dure those year even more organiz restructur and manag move occur all of these left mani valuabl depart and employe in limbo for mani month without work or direct while the csuit and the board tri to figur out what to do with the bank concurr in those year demotiv toxic and gener wari about the fate of the bank were pervas worldwid No matter what initi local manag would tri to initi to bring moral up among the site ani effort were made futil by upper manag as product remain low and depart were left neglect,benefit culture toxic barclays ceo bob diamond antony jenkins jes staley year even organizational restructure management move occur left many valuable department employee limbo many month without work direction csuite board try figure bank concurrently year demotivation toxicity general wariness fate bank pervasive worldwide matter initiative local manager try initiate bring morale among sit effort make futile upper management production remain low department left neglect,other than the benefit the culture be toxic from to barclays ha had ceo s bob diamond antony jenkins and jes staley and during those year even more organizational restructure and management move occur all of these left many valuable department and employee in limbo for many month without work or direction while the csuite and the board try to figure out what to do with the bank concurrently in those year demotivation toxicity and general wariness about the fate of the bank be pervasive worldwide no matter what initiative local manager would try to initiate to bring morale up among the sit any effort be make futile by upper management a production remain low and department be left neglect,NEGATIVE
1165,bad management terrible management,bad manag terribl manag,bad manag terribl manag,bad management terrible management,bad management terrible management,NEGATIVE
1166,under staffed Very Stressful Job,staf stress job,under staf veri stress job,staff stressful job,under staff very stressful job,NEGATIVE
1167,Poor Management  Stay Away from this place,poor manag stay away place,poor manag stay away from thi place,poor management stay away place,poor management stay away from this place,NEGATIVE
1168,very hard place to work management pay was low  days ups,hard place work manag pay low day up,veri hard place to work manag pay wa low day up,hard place work management pay low day up,very hard place to work management pay be low day up,NEGATIVE
1169,• Conducted inquiries to address critical business issues and  Toxic,conduct inquiri address critic busi issu toxic,conduct inquiri to address critic busi issu and toxic,conduct inquiry address critical business issue toxic,conduct inquiry to address critical business issue and toxic,NEGATIVE
1170,You are overworked to the most extent of the word. Career suicide.,overwork extent word career suicid,you are overwork to the most extent of the word career suicid,overwork extent word career suicide,you be overwork to the most extent of the word career suicide,NEGATIVE
1171,not enough employees to get job done.  too much work not enough time to get the job done.  employees are not trained in the departments they have to cover. horrible,enough employe get job done much work enough time get job done employe train depart cover horribl,not enough employe to get job done too much work not enough time to get the job done employe are not train in the depart they have to cover horribl,enough employee get job do much work enough time get job do employee train department cover horrible,not enough employee to get job do too much work not enough time to get the job do employee be not train in the department they have to cover horrible,NEGATIVE
1172,My main issue with this company is the poor performance of the store manager.  There is a lack of interest in the employees and no clear direction from the company. Poor management,main issu compani poor perform store manag lack interest employe clear direct compani poor manag,My main issu with thi compani is the poor perform of the store manag there is a lack of interest in the employe and no clear direct from the compani poor manag,main issue company poor performance store manager lack interest employee clear direction company poor management,my main issue with this company be the poor performance of the store manager there be a lack of interest in the employee and no clear direction from the company poor management,NEGATIVE
1173,"lots of thefts and people barging and running out\, very unsafe work environment for a small woman. always felt unsafe or lost\, management did nothing but sit and watch. a typical day at work",lot theft peopl barg run unsaf work environ small woman alway felt unsaf lost manag noth sit watch typic day work,lot of theft and peopl barg and run out veri unsaf work environ for a small woman alway felt unsaf or lost manag did noth but sit and watch a typic day at work,lot theft people barge run unsafe work environment small woman always felt unsafe lose management nothing sit watch typical day work,lot of theft and people barge and run out very unsafe work environment for a small woman always felt unsafe or lose management do nothing but sit and watch a typical day at work,NEGATIVE
1174,just fast paced stressful constant upcoming things you have to deal with on a daily basis i would not recommend anyone get this job  bad,just fast pace stress constant upcom thing deal daili basi recommend anyon get job bad,just fast pace stress constant upcom thing you have to deal with on a daili basi i would not recommend anyon get thi job bad,just fast pace stressful constant upcoming thing deal daily basis recommend anyone get job bad,just fast pace stressful constant upcoming thing you have to deal with on a daily basis i would not recommend anyone get this job bad,NEGATIVE
1175,"The management was awful\, coworkers were awful\, overall it was awful. The o LG benefit was having at least a paycheck.I would never recommend working there unless you have no otherr choice. Irritating",manag aw cowork aw overal aw o lg benefit least paychecki never recommend work unless otherr choic irrit,the manag wa aw cowork were aw overal it wa aw the o LG benefit wa have at least a paychecki would never recommend work there unless you have no otherr choic irrit,management awful coworkers awful overall awful o lg benefit least paychecki never recommend work unless otherr choice irritate,the management be awful coworkers be awful overall it be awful the o lg benefit be have at least a paychecki would never recommend work there unless you have no otherr choice irritate,NEGATIVE
